epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.227,0.95992,1.271,0.98341,0.85943,0.88674,0.92791,0.77948,0.67257,0.78376,0.87952,0.000664,0.000664,0.000664
2,467.943,0.79992,0.77005,0.92595,0.92807,0.84218,0.92959,0.79112,0.65714,0.70018,0.87614,0.00130432,0.00130432,0.00130432
3,700.182,0.74236,0.68234,0.90946,0.91101,0.86879,0.92667,0.79457,0.63387,0.62616,0.86473,0.00191824,0.00191824,0.00191824
4,930.516,0.70728,0.63148,0.89534,0.93726,0.86074,0.94303,0.81244,0.60113,0.57502,0.85682,0.0018812,0.0018812,0.0018812
5,1160.58,0.67191,0.59375,0.88744,0.94064,0.86517,0.95169,0.8376,0.56006,0.52957,0.85149,0.0018416,0.0018416,0.0018416
6,1391.34,0.66925,0.58304,0.88534,0.95285,0.85467,0.95406,0.83441,0.57501,0.52086,0.85344,0.001802,0.001802,0.001802
7,1621.8,0.63894,0.55442,0.87831,0.93003,0.86375,0.94851,0.84794,0.53067,0.5138,0.84405,0.0017624,0.0017624,0.0017624
8,1852.03,0.61789,0.53368,0.87114,0.9554,0.88174,0.95846,0.85172,0.53495,0.48538,0.84163,0.0017228,0.0017228,0.0017228
9,2082.19,0.6049,0.52518,0.86853,0.94776,0.87029,0.95474,0.85648,0.51197,0.46928,0.83785,0.0016832,0.0016832,0.0016832
10,2312.92,0.58444,0.50744,0.86428,0.96576,0.85675,0.95831,0.85575,0.51709,0.47318,0.83824,0.0016436,0.0016436,0.0016436
11,2543.75,0.57753,0.49743,0.86178,0.94173,0.89129,0.95942,0.87113,0.49439,0.45659,0.83354,0.001604,0.001604,0.001604
12,2773.19,0.56074,0.49151,0.85818,0.93753,0.8562,0.95264,0.86555,0.47067,0.47387,0.82741,0.0015644,0.0015644,0.0015644
13,3003.76,0.54734,0.47698,0.85571,0.9211,0.89473,0.95582,0.87204,0.47842,0.44284,0.83581,0.0015248,0.0015248,0.0015248
14,3234.11,0.55341,0.48288,0.85431,0.93357,0.88107,0.95664,0.87181,0.46489,0.45764,0.82993,0.0014852,0.0014852,0.0014852
15,3463.84,0.53824,0.47005,0.85169,0.92821,0.88618,0.95507,0.87895,0.45773,0.4376,0.82772,0.0014456,0.0014456,0.0014456
16,3693.27,0.53002,0.46461,0.85075,0.95628,0.86886,0.96139,0.88593,0.45077,0.43318,0.82385,0.001406,0.001406,0.001406
17,3924.25,0.52897,0.45724,0.84774,0.93225,0.89447,0.95451,0.88004,0.45777,0.44906,0.82431,0.0013664,0.0013664,0.0013664
18,4155.02,0.51918,0.45553,0.84582,0.95609,0.88135,0.96059,0.88496,0.44753,0.43047,0.82303,0.0013268,0.0013268,0.0013268
19,4386.21,0.51741,0.44956,0.84655,0.95469,0.89129,0.95898,0.88504,0.44613,0.43066,0.82342,0.0012872,0.0012872,0.0012872
20,4616.43,0.51117,0.44148,0.84429,0.94541,0.8964,0.96323,0.88548,0.44344,0.41281,0.82233,0.0012476,0.0012476,0.0012476
21,4848.13,0.50913,0.44942,0.84324,0.94434,0.89101,0.96206,0.89096,0.43264,0.4061,0.82022,0.001208,0.001208,0.001208
22,5078.77,0.50247,0.44134,0.84328,0.94225,0.88476,0.96207,0.89264,0.42699,0.40927,0.81965,0.0011684,0.0011684,0.0011684
23,5309.1,0.49139,0.43376,0.84018,0.94621,0.89271,0.95942,0.88825,0.43524,0.4237,0.82264,0.0011288,0.0011288,0.0011288
24,5540.29,0.49701,0.43586,0.83975,0.95221,0.89366,0.96242,0.89495,0.41946,0.40297,0.81831,0.0010892,0.0010892,0.0010892
25,5772.77,0.48726,0.42672,0.83823,0.95158,0.8926,0.96048,0.89442,0.42023,0.41471,0.82229,0.0010496,0.0010496,0.0010496
26,6007.91,0.48419,0.42882,0.83847,0.94366,0.90037,0.9626,0.8914,0.43257,0.3989,0.8186,0.00101,0.00101,0.00101
27,6240.61,0.48377,0.42693,0.83731,0.95026,0.89696,0.96413,0.89871,0.40871,0.39898,0.81789,0.0009704,0.0009704,0.0009704
28,6471.47,0.47008,0.41271,0.83462,0.95612,0.89057,0.96017,0.89587,0.40847,0.40537,0.81642,0.0009308,0.0009308,0.0009308
29,6703.23,0.47107,0.41426,0.83554,0.94298,0.89658,0.96304,0.8971,0.41115,0.39458,0.81685,0.0008912,0.0008912,0.0008912
30,6934.35,0.46404,0.40672,0.83367,0.94206,0.90453,0.9626,0.89902,0.40878,0.39671,0.81567,0.0008516,0.0008516,0.0008516
31,7165.34,0.45763,0.40305,0.83198,0.95176,0.89041,0.96049,0.89741,0.40809,0.39851,0.81754,0.000812,0.000812,0.000812
32,7395.86,0.45783,0.40506,0.83218,0.95703,0.89777,0.96429,0.90034,0.40473,0.39514,0.81532,0.0007724,0.0007724,0.0007724
33,7626.04,0.44874,0.39994,0.82894,0.95263,0.89052,0.95964,0.89822,0.40139,0.3951,0.81608,0.0007328,0.0007328,0.0007328
34,7857.12,0.45007,0.40371,0.83003,0.94209,0.90406,0.96465,0.90186,0.4068,0.38322,0.81748,0.0006932,0.0006932,0.0006932
35,8089.13,0.43805,0.39815,0.82721,0.95166,0.89978,0.96297,0.90271,0.39484,0.38088,0.81379,0.0006536,0.0006536,0.0006536
36,8319.86,0.43654,0.38724,0.82773,0.94041,0.90041,0.96307,0.90125,0.39494,0.38031,0.815,0.000614,0.000614,0.000614
37,8550.3,0.43946,0.39117,0.82513,0.94355,0.90625,0.96197,0.90356,0.38611,0.37752,0.81282,0.0005744,0.0005744,0.0005744
38,8781.6,0.43413,0.38535,0.82776,0.94907,0.89923,0.96226,0.90511,0.38539,0.37708,0.81324,0.0005348,0.0005348,0.0005348
39,9011.56,0.4278,0.38371,0.82533,0.95406,0.90191,0.96137,0.90482,0.38246,0.37289,0.81132,0.0004952,0.0004952,0.0004952
40,9242.01,0.42248,0.3789,0.82482,0.9432,0.90747,0.95999,0.90369,0.37863,0.37801,0.81241,0.0004556,0.0004556,0.0004556
41,9468.52,0.38831,0.35611,0.80938,0.94609,0.90974,0.96309,0.90452,0.39144,0.37402,0.81308,0.000416,0.000416,0.000416
42,9694.1,0.38068,0.35217,0.80885,0.94402,0.9086,0.96279,0.90555,0.38821,0.37637,0.81272,0.0003764,0.0003764,0.0003764
43,9920.52,0.37132,0.34371,0.80634,0.94362,0.90803,0.96288,0.90648,0.38227,0.37228,0.81073,0.0003368,0.0003368,0.0003368
44,10146.4,0.36691,0.33857,0.80459,0.95357,0.89186,0.96055,0.90666,0.3797,0.37858,0.8108,0.0002972,0.0002972,0.0002972
